Future	
2037.49999	143.354612
2037.583323	143.6225921
2037.666657	143.8905723
2037.74999	144.1585524
2037.833323	144.4265325
2037.916657	144.6945126
2037.99999	144.9624928
2038.083323	145.2304729
2038.166657	145.498453
2038.24999	145.7664331
2038.333323	146.0344133
2038.416657	146.3023934
2038.49999	146.5703735
2038.583323	146.8383536
2038.666657	147.1063338
2038.74999	147.3743139
2038.833323	147.642294
2038.916657	147.9102741
2038.99999	148.1782543
2039.083323	148.4462344
2039.166657	148.7142145
2039.24999	148.9821947
2039.333323	149.2501748
2039.416657	149.5181549
2039.49999	149.786135
2039.583323	150.0541152
2039.666657	150.3220953
2039.74999	150.5900754
2039.833323	150.8580555
2039.916656	151.1260357
2039.99999	151.3940158
2040.083323	151.6619959
2040.166656	151.929976
2040.24999	152.1979562
2040.333323	152.4659363
2040.416656	152.7339164
2040.49999	153.0018965
2040.583323	153.2698767
2040.666656	153.5378568
2040.74999	153.8058369
2040.833323	154.0738171
2040.916656	154.3417972
2040.99999	154.6097773
2041.083323	154.8777574
2041.166656	155.1457376
2041.24999	155.4137177
2041.333323	155.6816978
2041.416656	155.9496779
2041.49999	156.2176581
2041.583323	156.4856382
2041.666656	156.7536183
2041.74999	157.0215984
2041.833323	157.2895786
2041.916656	157.5575587
2041.99999	157.8255388
2042.083323	158.0935189
2042.166656	158.3614991
2042.24999	158.6294792
2042.333323	158.8974593
2042.416656	159.1654395
2042.49999	159.4334196
2042.583323	159.7013997
2042.666656	159.9693798
2042.74999	160.23736
2042.833323	160.5053401
2042.916656	160.7733202
2042.99999	161.0413003
2043.083323	161.3092805
2043.166656	161.5772606
2043.24999	161.8452407
2043.333323	162.1132208
2043.416656	162.381201
2043.49999	162.6491811
2043.583323	162.9171612
2043.666656	163.1851413
2043.74999	163.4531215
2043.833323	163.7211016
2043.916656	163.9890817
2043.99999	164.2570619
2044.083323	164.525042
2044.166656	164.7930221
2044.24999	165.0610022
2044.333323	165.3289824
2044.416656	165.5969625
2044.49999	165.8649426
2044.583323	166.1329227
2044.666656	166.4009029
2044.74999	166.668883
2044.833323	166.9368631
2044.916656	167.2048432
2044.99999	167.4728234
2045.083323	167.7408035
2045.166656	168.0087836
2045.24999	168.2767637
2045.333323	168.5447439
2045.416656	168.812724
2045.49999	169.0807041
2045.583323	169.3486843
2045.666656	169.6166644
2045.74999	169.8846445
2045.833323	170.1526246
2045.916656	170.4206048
2045.99999	170.6885849
2046.083323	170.956565
2046.166656	171.2245451
2046.249989	171.4925253
2046.333323	171.7605054
2046.416656	172.0284855
2046.499989	172.2964656
2046.583323	172.5644458
2046.666656	172.8324259
2046.749989	173.100406
2046.833323	173.3683861
2046.916656	173.6363663
2046.999989	173.9043464
2047.083323	174.1723265
2047.166656	174.4403066
2047.249989	174.7082868
2047.333323	174.9762669
2047.416656	175.244247
2047.499989	175.5122272
2047.583323	175.7802073
2047.666656	176.0481874
2047.749989	176.3161675
2047.833323	176.5841477
2047.916656	176.8521278
2047.999989	177.1201079
2048.083323	177.388088
2048.166656	177.6560682
2048.249989	177.9240483
2048.333323	178.1920284
2048.416656	178.4600085
2048.499989	178.7279887
2048.583323	178.9959688
2048.666656	179.2639489
2048.749989	179.531929
2048.833323	179.7999092
2048.916656	180.0678893
2048.999989	180.3358694
2049.083323	180.6038496
2049.166656	180.8718297
2049.249989	181.1398098
2049.333323	181.4077899
2049.416656	181.6757701
2049.499989	181.9437502
2049.583323	182.2117303
2049.666656	182.4797104
2049.749989	182.7476906
2049.833323	183.0156707
2049.916656	183.2836508
2049.999989	183.5516309
