2010.2000 389.4085
2010.2849 389.6242
2010.3671 389.8385
2010.4521 390.0626
2010.5342 390.2793
2010.6192 390.5005
2010.7041 390.7153
2010.7863 390.9146
2010.8712 391.1108
2010.9534 391.2918
2011.0384 391.4712
2011.1233 391.6437
2011.2000 391.7940
2011.2849 391.9548
2011.3671 392.1060
2011.4521 392.2602
2011.5342 392.4099
2011.6192 392.5679
2011.7041 392.7317
2011.7863 392.8962
2011.8712 393.0715
2011.9534 393.2448
2012.0383 393.4265
2012.1230 393.6107
2012.2022 393.7868
2012.2869 393.9803
2012.3689 394.1742
2012.4536 394.3834
2012.5355 394.5971
2012.6202 394.8312
2012.7049 395.0780
2012.7869 395.3262
2012.8716 395.5895
2012.9536 395.8485
2013.0384 396.1186
2013.1233 396.3898
2013.2000 396.6345
2013.2849 396.9041
2013.3671 397.1626
2013.4521 397.4252
2013.5342 397.6731
2013.6192 397.9212
2013.7041 398.1606
2013.7863 398.3837
2013.8712 398.6044
2013.9534 398.8080
2014.0384 399.0085
2014.1233 399.1993
2014.2000 399.3631
2014.2849 399.5353
2014.3671 399.6947
2014.4521 399.8545
2014.5342 400.0066
2014.6192 400.1634
2014.7041 400.3221
2014.7863 400.4789
2014.8712 400.6449
2014.9534 400.8085
2015.0384 400.9789
2015.1233 401.1491
2015.2000 401.3015
2015.2849 401.4691
2015.3671 401.6318
2015.4521 401.8028
2015.5342 401.9728
2015.6192 402.1542
2015.7041 402.3422
2015.7863 402.5307
2015.8712 402.7319
2015.9534 402.9323
2016.0383 403.1456
2016.1230 403.3661
2016.2022 403.5801
2016.2869 403.8186
2016.3689 404.0609
2016.4536 404.3253
2016.5355 404.5961
2016.6202 404.8907
2016.7049 405.1972
2016.7869 405.5006
2016.8716 405.8158
2016.9536 406.1173
2017.0384 406.4198
2017.1233 406.7081
2017.2000 406.9530
2017.2849 407.2051
2017.3671 407.4303
2017.4521 407.6449
2017.5342 407.8375
2017.6192 408.0244
2017.7041 408.2025
2017.7863 408.3689
2017.8712 408.5356
2017.9534 408.6921
2018.0384 408.8481
2018.1233 408.9966
2018.2000 409.1231
2018.2849 409.2538
2018.3671 409.3704
2018.4521 409.4811
2018.5342 409.5801
2018.6192 409.6767
2018.7041 409.7699
2018.7863 409.8588
2018.8712 409.9504
2018.9534 410.0390
